Qwerty Similarity,Error Rate
7,0.052748724
7,0.0523602
6,0.062373732
6,0.062484595
7,0.054674423
7,0.049673427
7,0.049474531
7,0.055298072
7,0.055111227
8,0.048634065
8,0.048357975
6,0.053716584
6,0.053441357
8,0.054497966
5,0.063336292
8,0.054313024
5,0.063447513
8,0.054501651
6,0.050191002
6,0.049953938
5,0.059216802
5,0.059328124
6,0.055640178
6,0.055415164
7,0.052039049
7,0.051637949
6,0.061307832
6,0.061430284
6,0.061042784
7,0.04892456
7,0.048713088
7,0.054553407
7,0.054353985
8,0.047908783
8,0.047620118
6,0.053005312
6,0.052717509
8,0.053498522
5,0.062268795
8,0.053589516
5,0.062391606
5,0.062117404
8,0.053501233
6,0.04949953
6,0.049249889
5,0.058169104
8,0.050121273
5,0.058292015
5,0.058055975
6,0.054952907
6,0.054715316
4,0.054902686
4,0.060470216
7,0.04702343
4,0.053812212
5,0.053191429
5,0.052882887
4,0.062292724
7,0.053874971
4,0.06240459
6,0.048916831
6,0.048569257
5,0.06367807
6,0.054266093
5,0.053749353
5,0.053456058
4,0.062915333
6,0.063959549
7,0.054429862
4,0.06302646
5,0.05143863
4,0.060361591
4,0.060477293
5,0.05250288
5,0.052181762
4,0.061247949
4,0.061371405
4,0.061063888
6,0.048271666
6,0.047911516
5,0.053045701
5,0.052739829
4,0.061855455
4,0.061978172
5,0.049755015
5,0.049481289
5,0.049864136
5,0.049533869
3,0.059140727
5,0.051576354
5,0.048025184
6,0.04777285
3,0.054452863
6,0.047642666
3,0.059942407
3,0.052742182
3,0.058077176
5,0.047359801
6,0.04703497
3,0.053370008
3,0.058863753
5,0.04918157
9,0.051955557
9,0.051570997
8,0.061600055
10,0.046340456
8,0.0516183
8,0.051254598
7,0.061777385
8,0.046875601
8,0.04655006
7,0.056440777
8,0.053799519
8,0.053485324
8,0.053533731
8,0.053219935
7,0.06331644
8,0.053430269
8,0.053537512
8,0.05322278
10,0.046675234
10,0.046403109
10,0.053667302
10,0.053406921
7,0.062550372
9,0.063569509
10,0.053565629
10,0.0536708
10,0.053409484
7,0.049390769
7,0.04956888
9,0.051136596
9,0.05073946
8,0.060424869
8,0.060547807
8,0.060164272
10,0.045520991
10,0.045221044
8,0.051608466
8,0.051309382
10,0.052357063
10,0.05206886
7,0.060826755
10,0.052243077
10,0.052161078
7,0.060950791
10,0.052360577
10,0.052071439
8,0.05083643
8,0.050460153
7,0.060639289
7,0.060762356
7,0.060399679
8,0.04611353
8,0.045775414
7,0.055322481
8,0.053041769
8,0.052714998
8,0.05277442
8,0.052448048
7,0.062202465
8,0.052659329
8,0.052541599
7,0.062327872
8,0.052778162
8,0.052450855
10,0.045840666
10,0.045555965
8,0.052090615
8,0.051806777
10,0.052835493
10,0.052562537
7,0.061373588
9,0.062383037
10,0.052722192
10,0.052654016
7,0.061496885
9,0.062506372
10,0.052838953
10,0.052565061
9,0.050163069
9,0.049788606
8,0.060068284
8,0.060191381
10,0.044550888
10,0.044273613
10,0.051276258
8,0.049858618
8,0.049505013
7,0.06027842
7,0.060401645
8,0.045135522
8,0.044820079
