Qwerty Similarity,Error Rate
7,527
7,524
6,624
6,625
7,547
7,497
7,495
7,553
7,551
8,486
8,484
6,537
6,534
8,545
5,633
8,543
5,634
8,545
6,502
6,500
5,592
5,593
6,556
6,554
7,520
7,516
6,613
6,614
6,610
7,489
7,487
7,546
7,544
8,479
8,476
6,530
6,527
8,535
5,623
8,536
5,624
5,621
8,535
6,495
6,492
5,582
8,501
5,583
5,581
6,550
6,547
4,549
4,605
7,470
4,538
5,532
5,529
4,623
7,539
4,624
6,489
6,486
5,637
6,543
5,537
5,535
4,629
6,640
7,544
4,630
5,514
4,604
4,605
5,525
5,522
4,612
4,614
4,611
6,483
6,479
5,530
5,527
4,619
4,620
5,498
5,495
5,499
5,495
3,591
5,516
5,480
6,478
3,545
6,476
3,599
3,527
3,581
5,474
6,470
3,534
3,589
5,492
9,520
9,516
8,616
10,463
8,516
8,513
7,618
8,469
8,466
7,564
8,538
8,535
8,535
8,532
7,633
8,534
8,535
8,532
10,467
10,464
10,537
10,534
7,626
9,636
10,536
10,537
10,534
7,494
7,496
9,511
9,507
8,604
8,605
8,602
10,455
10,452
8,516
8,513
10,524
10,521
7,608
10,522
10,522
7,610
10,524
10,521
8,508
8,505
7,606
7,608
7,604
8,461
8,458
7,553
8,530
8,527
8,528
8,524
7,622
8,527
8,525
7,623
8,528
8,525
10,458
10,456
8,521
8,518
10,528
10,526
7,614
9,624
10,527
10,527
7,615
9,625
10,528
10,526
9,502
9,498
8,601
8,602
10,446
10,443
10,513
8,499
8,495
7,603
7,604
8,451
8,448
7,618
8,517
10,449
10,446
7,523
7,520
7,476
7,473
7,478
7,475
9,483
9,483
9,483
7,467
7,466
7,512
6,518
7,459
7,457
7,458
9,456
6,524
9,442
9,440
9,441
7,451
7,448
7,449
9,447
9,446
5,614
4,637
6,509
6,505
5,603
5,604
5,600
6,500
6,496
5,519
5,516
4,617
4,618
5,534
5,530
5,531
5,528
4,631
5,530
5,529
5,531
5,528
5,524
5,521
4,622
5,522
4,522
4,589
4,588
3,547
3,620
3,617
3,617
4,510
5,508
5,505
5,507
4,577
4,577
4,507
5,499
5,498
6,454
6,451
3,527
6,452
4,520
3,595
4,518
3,592
3,592
4,511
3,593
4,510
3,590
4,463
4,460
3,538
4,461
3,536
3,536
4,526
4,528
4,525
4,527
6,458
3,532
6,457
4,526
3,602
4,525
3,599
3,599
6,463
3,536
6,461
3,605
4,528
3,603
3,603
5,726
4,723
5,580
5,572
5,565
5,558
7,557
6,540
9,536
7,543
7,536
6,639
6,639
7,621
7,618
7,618
7,528
6,543
6,536
5,644
6,563
6,555
5,664
4,715
4,716
4,591
3,707
4,607
3,612
2,728
3,728
3,632
2,748
5,594
5,586
4,690
4,691
4,683
5,597
5,589
4,694
4,695
4,687
5,595
5,592
4,697
4,698
5,592
4,685
4,594
4,586
3,695
3,696
4,597
4,589
3,698
3,699
3,691
4,603
3,712
3,619
3,612
3,616
3,609
2,719
3,615
3,609
2,720
3,616
2,713
3,609
4,608
3,718
3,719
3,639
3,631
3,636
3,628
2,738
3,628
2,739
3,636
3,628
2,610
1,688
1,686
2,547
2,540
1,628
2,632
2,708
2,706
1,710
1,708
2,569
1,650
1,723
3,591
3,595
3,670
4,576
3,583
4,516
3,596
4,515
3,594
3,594
4,589
4,588
3,587
3,663
4,584
3,665
3,663
3,663
2,596
2,671
2,673
2,670
2,670
2,600
2,676
2,678
2,675
2,675
2,616
2,595
1,680
1,678
1,678
2,542
2,535
1,621
2,541
1,618
1,613
1,618
2,615
1,693
2,614
2,617
2,616
1,693
2,613
2,614
1,693
2,621
2,697
2,700
2,697
2,697
1,702
1,699
1,699
2,563
1,642
1,639
1,639
2,636
1,714
2,639
1,714
2,636
1,714
4,505
3,582
3,579
3,579
3,572
