Qwerty Similarity,Top 1%
7,0.917727977
7,0.919810363
6,0.924354825
6,0.923770439
7,0.917110396
7,0.926270845
7,0.92840214
7,0.925215208
7,0.928208508
8,0.927022908
8,0.929108005
6,0.926453892
6,0.929007228
8,0.927493172
5,0.934109565
8,0.930140061
5,0.933030209
8,0.9251198
6,0.927558782
6,0.929211287
5,0.934196609
5,0.93308515
6,0.925798124
6,0.928299701
7,0.916718984
7,0.918064721
6,0.923552203
6,0.922864048
6,0.922425205
7,0.925467182
7,0.928008265
7,0.924702982
7,0.927230008
8,0.925639142
8,0.928055772
6,0.925379237
6,0.927407335
8,0.927689638
5,0.932016923
8,0.928908833
5,0.930992868
5,0.930624091
8,0.927703175
6,0.926657385
6,0.928663472
5,0.932758221
8,0.931128663
5,0.931647543
5,0.931253261
6,0.924576416
6,0.926788137
4,0.918062862
4,0.916403547
7,0.910598369
4,0.917642483
5,0.920934271
5,0.923296339
4,0.927816282
7,0.918891896
4,0.926866337
6,0.921922291
6,0.923274499
5,0.925420039
6,0.917973524
5,0.92703671
5,0.928932452
4,0.933816056
6,0.932729094
7,0.924487687
4,0.93322209
5,0.916364037
4,0.922699294
4,0.92160525
5,0.919983982
5,0.922210713
4,0.926283346
4,0.925393981
4,0.925570516
6,0.921305882
6,0.923110026
5,0.926845881
5,0.928999321
4,0.93291369
4,0.932467488
5,0.921862595
5,0.924171309
5,0.925933172
5,0.928076923
3,0.91172917
5,0.901985772
5,0.905162215
6,0.910894079
3,0.918131369
6,0.906767852
3,0.916485052
3,0.913591779
3,0.911054666
5,0.906080475
6,0.913374045
3,0.919169611
3,0.916141575
5,0.916216318
9,0.925619636
9,0.927302563
8,0.932255589
10,0.923652895
8,0.925597513
8,0.926283098
7,0.931305732
8,0.923967028
8,0.924806939
7,0.92971469
8,0.92812463
8,0.929500518
8,0.928642196
8,0.92836779
7,0.93178004
8,0.925293724
8,0.926574464
8,0.928816438
10,0.926811123
10,0.928663475
10,0.931927389
10,0.932687344
7,0.938829156
9,0.937474516
10,0.929263196
10,0.929677822
10,0.932996519
7,0.919850981
7,0.922050524
9,0.925764973
9,0.927795913
8,0.932069329
8,0.931124765
8,0.93042803
10,0.924310478
10,0.925213261
8,0.926310698
8,0.928179644
10,0.927737462
10,0.927709143
7,0.93158808
10,0.924548336
10,0.928903993
7,0.930644671
10,0.925809888
10,0.927716018
8,0.925235343
8,0.926592372
7,0.930914938
7,0.930594878
7,0.929292797
8,0.924722596
8,0.925986501
7,0.93042097
8,0.927032305
8,0.928906111
8,0.927416409
8,0.927841986
7,0.930536851
8,0.924221917
8,0.929371028
7,0.929168128
8,0.925496086
8,0.92821555
10,0.927849399
10,0.929855512
8,0.930308578
8,0.932658823
10,0.931595797
10,0.932831395
7,0.93665837
9,0.936093576
10,0.928981037
10,0.933657697
7,0.935377374
9,0.934774315
10,0.929786695
10,0.932861867
9,0.918186331
9,0.920387528
8,0.924666507
8,0.923936367
10,0.918202528
10,0.919437045
10,0.917289202
8,0.917677164
8,0.919196396
7,0.923720623
7,0.923533789
8,0.918381562
8,0.920134418
7,0.923504044
8,0.91720464
10,0.921306053
10,0.923672619
7,0.9253178
7,0.927135493
7,0.925633608
7,0.927794672
7,0.928433519
7,0.930012463
9,0.930238389
9,0.931588429
9,0.93044516
7,0.913389181
7,0.910269871
7,0.920276319
6,0.919901186
7,0.913375311
7,0.912726205
7,0.910187435
9,0.918445739
6,0.925101024
9,0.908221461
9,0.907601498
9,0.904896638
7,0.908566227
7,0.907689555
7,0.905173129
9,0.912247921
9,0.909020075
5,0.931012327
4,0.929055267
6,0.924775875
6,0.926241102
5,0.931046887
5,0.930138121
5,0.929180803
6,0.9171349
6,0.918774409
5,0.921359516
5,0.923147252
4,0.927182234
4,0.926369092
5,0.922547715
5,0.923952138
5,0.923088869
5,0.922857425
4,0.926283565
5,0.919555197
5,0.92473516
5,0.921002893
5,0.923417946
5,0.92565046
5,0.926890416
4,0.931669825
5,0.929434678
4,0.917372826
4,0.920717539
4,0.919288633
3,0.914843923
